From	To
Q8N9S3-3	NM_001290655.1
Q9M7Q3-2	NM_001036708.3
Q9GZX7-2	NM_001330343.1
Q9BQI0-2	NM_001185095.1
Q9BQI0-4	NM_001185096.1
P55008-2	NM_001318970.1
P55008-2	NM_032955.2
Q9VQ79-1	NM_134805.4
O95831-3	NM_145812.2
O95831-4	NM_001130847.3
Q96NN9-2	NM_001146288.1
Q96NN9-3	NM_001018060.2
Q3TY86-2	NM_175178.4
Q9NVV5-4	NM_001286587.1
Q9NVV5-5	NM_001286589.1
Q9NVV5-6	NM_001286588.1
Q9D8B1-1	NM_025446.4
Q52QU2-2	NM_001343118.1
Q52QU2-2	NM_001343116.1
Q13155-2	NM_001326607.1
Q9NZN9-2	NM_001033055.2
Q9NZN9-3	NM_001033054.2
Q9NZN9-4	NM_001285400.2
Q9NZN9-5	NM_001285401.2
Q9LNE8-2	NM_100478.3
Q9Z0E3-2	NM_001271549.1
Q9Z0E3-3	NM_001271550.1
Q9Z0E3-4	NM_001271551.1
Q9Z0E3-5	NM_001271552.1
Q9Z0E3-6	NM_001271553.1
Q9Z0E3-7	NM_001271554.1
Q9Z0E3-8	NM_001271555.1
Q9Z0E3-9	NM_001271556.1
Q9Z0E3-10	NM_001271557.1
Q9Z0E3-11	NM_001271558.1
Q9Z0E3-12	NM_001271559.1
Q9M022-2	NM_202992.1
A0A1C3NSL9-2	NM_001330915.1
A0A1C3NSL9-3	NM_001330914.1
A0A1C3NSL9-4	NM_001330910.1
A0A1C3NSL9-5	NM_001330909.1
A0A1C3NSL9-7	NM_001330912.1
A0A1C3NSL9-9	NM_001330911.1
A0A1C3NSL9-11	NM_001330913.1
Q96IF1-2	NM_198086.2
C9JRZ8-2	NM_001080538.2
P52895-2	NM_001135241.2
P51857-2	NM_001190907.1
P51857-3	NM_001190906.1
Q9VLL3-2	NM_001298823.1
Q9VLL3-2	NM_058111.4
Q9VLL3-2	NM_164820.2
Q02952-2	NM_144497.2
Q5QD51-2	NM_001033653.1
Q5QD51-3	XM_006227848.3
Q86UN6-2	NM_001008534.1
Q86UN6-3	NM_001008535.1
O43687-2	NM_004842.3
Q09285-2	NM_171164.4
O54931-1	NM_001035533.2
O54931-2	NM_001035532.2
O54931-7	NM_172868.3
Q5JQC9-2	NM_139289.1
Q60662-2	NM_001042542.2
Q99996-3	NM_147185.2
Q8K023-2	NM_001346535.1
Q96JD6-2	NM_001271021.1
Q96JD6-5	NM_001271025.1
O81852-2	NM_118091.3
Q9NQ31-2	NM_001206647.1
Q9NQ31-3	NM_001206646.1
Q9H9L7-2	NM_001136275.1
Q7Z591-7	NM_001317952.1
Q7Z591-7	XM_011519063.2
Q7Z591-7	XM_011519065.2
Q12802-2	NM_006738.5
E9Q394-2	XM_006541255.3
Q9ULX6-2	NM_001291478.1
O80944-2	NM_001124993.1
O80944-3	NM_001084550.1
O80944-3	NM_201898.2
Q0PGJ6-2	NM_129333.3
Q05753-2	NM_203271.2
Q17941-2	NM_001028475.2
Q17941-3	NM_001028476.3
Q8INB9-2	NM_001300424.1
Q8INB9-2	NM_001300425.1
Q8INB9-2	NM_169706.2
Q8INB9-2	NM_169707.2
Q9XTG7-2	NM_001029441.3
P31751-2	NM_001330511.1
Q9Y243-2	NM_001206729.1
Q9Y243-2	NM_181690.2
Q7ZYX1-2	XM_005168969.3
Q9H8T0-2	NM_001308325.1
Q9H8T0-2	XM_005256095.4
Q9H8T0-2	XM_005256096.4
Q9H8T0-2	XM_005256097.4
Q9H8T0-2	XM_005256098.4
Q7K4V4-2	NM_165716.2
Q7K4V4-3	NM_001273908.1
Q96B36-3	NM_032375.5
O94788-2	NM_170696.2
O94788-3	NM_001206897.1
O94788-4	NM_170697.2
O75891-2	NM_001270365.1
O75891-3	NM_001270364.1
Q3SY69-3	XM_011537989.2
P51648-2	NM_001031806.1
P43353-2	NM_001030010.2
Q70DU8-2	NM_001084207.1
P30038-2	NM_001161504.1
P30038-3	NM_001319218.1
P49419-2	NM_001201377.1
P49419-4	NM_001202404.1
Q9DBF1-2	NM_001127338.1
Q9H2A2-2	NM_170771.2
Q9H2A2-4	NM_001193480.1
P49189-3	NM_000696.3
Q9JLJ2-2	NM_019993.3
Q9LDV4-2	NM_001084342.1
Q8TD30-2	NM_001142466.2
Q8LBP4-2	NM_179794.2
Q9FHA2-2	NM_001085342.1
Q9FHA2-3	NM_001085341.1
P05091-2	NM_001204889.1
P04075-2	NM_001243177.1
M9PF61-2	NM_001274788.1
M9PF61-3	NM_168467.2
M9PF61-4	NM_140227.2
Q84VX3-3	NM_121141.5
F4KGQ0-2	NM_180428.2
Q8S8M9-2	NM_001202573.2
P07764-2	NM_079791.5
P07764-2	NM_170266.4
P07764-3	NM_001276056.1
P07764-3	NM_170261.3
P07764-3	NM_206577.3
Q3TZM9-2	NM_183142.4
Q08B22-2	NM_001122888.1
A8MR93-2	NM_001083978.2
A8MR93-5	NM_001083977.4
A8MR93-6	NM_001123742.1
Q9NP73-2	NM_018466.5
Q9NP73-3	NM_001257231.1
Q9NP73-4	NM_001257230.1
Q9NP73-4	NM_001257234.1
Q9NP73-4	NM_001257237.1
Q9D8C3-2	NM_026247.3
Q9BT22-2	NM_001330504.1
O82244-2	NM_001036479.1
O82244-3	NM_001036480.1
Q92685-2	NM_001006941.2
Q9Y673-2	NM_001142364.1
Q9BVK2-2	NM_001007027.2
Q9H6U8-2	NM_001077692.1
Q9H6U8-3	NM_024740.2
Q9H6U8-4	NM_001077691.1
P54889-2	NM_077732.6
Q8L8W0-2	NM_202446.1
Q6NS38-2	NM_001205179.1
Q6NS38-2	NM_001205180.1
Q6NS38-2	XM_005253836.1
Q9D8F1-2	NM_028070.1
Q9D8F1-2	XM_006504505.3
Q9D6Z0-2	NM_027372.1
Q8RWY1-2	NM_102896.3
Q8RWY1-2	NM_202217.1
Q9ASZ9-2	NM_001198345.1
Q9U389-2	NM_069580.4
Q9LS22-2	NM_001036942.1
Q9LS22-3	NM_001125913.1
Q96QP1-2	NM_001253884.1
Q96Q42-2	NM_001135745.1
P35858-2	NM_001146006.1
P34552-2	NM_066812.5
P34552-3	NM_001027543.2
P34552-4	NM_001027544.1
Q6A333-2	NM_001035566.2
Q6A333-2	NM_001202883.1
Q6A333-2	NM_001202884.1
Q6A333-3	NM_001125108.2
Q9UHK6-4	NM_203382.2
Q9UHK6-5	NM_001167595.1
P19021-2	NM_138821.2
P19021-3	NM_138766.2
P19021-3	XM_017009505.1
P19021-4	NM_138822.2
P19021-5	NM_000919.3
P19021-5	XM_017009497.1
Q99217-2	NM_182681.1
Q99217-3	NM_182680.1
P63277-1	NM_009666.4
P63277-3	NM_001290371.1
P63278-1	NM_001271077.1
P63278-2	NM_001271078.1
P63278-6	NM_001271073.1
Q99218-1	NM_001143.1
P45561-3	NM_213800.1
Q8N7J2-2	NM_199138.2
Q8CCJ4-2	NM_001164705.1
Q9R049-2	NM_011787.2
Q80ZD8-2	NM_001287093.1
Q16671-2	NM_001164690.2
Q16671-3	NM_001164691.2
Q9Y4X0-3	NM_001025580.1
Q9Y4X0-4	NM_001171689.1
Q8IY45-2	NM_001278411.1
Q8IY45-2	NM_001278412.1
Q8IY45-2	XM_017018965.1
Q8IY63-2	NM_001301007.1
Q9D4H4-2	XM_006510668.1
Q9D4H4-2	XM_006510669.3
Q9D4H4-2	XM_006510670.1
Q9Y2J4-2	NM_016201.3
Q9Y2J4-3	NM_001278685.1
Q9Y2J4-4	NM_001278683.1
Q4VCS5-2	NM_133265.2
Q4VCS5-2	XM_005262090.1
Q8VHG2-2	NM_001290274.1
G5EFT4-3	NM_001027887.3
P23109-2	NM_001172626.1
Q01433-2	NM_139156.3
Q01433-4	NM_001308170.1
Q01433-5	NM_001257361.1
Q9DBT5-1	NM_001289719.1
Q9DBT5-1	NM_028779.5
Q01432-4	NM_000480.2
Q01432-5	NM_001025390.1
Q01432-6	NM_001172431.1
P49418-2	NM_139316.2
Q8N6M6-2	NM_032823.5
Q8N6M6-2	XM_017015231.1
Q8N6M6-3	NM_001193331.2
Q9C0C7-2	NM_001300731.1
Q9C0C7-4	NM_017749.3
Q9C0C7-5	NM_001267782.1
A2AH22-2	NM_001080754.1
A2AH22-7	XM_006499253.1
Q6NKP9-2	NM_001084036.1
Q6NKP9-3	NM_001035943.2
F8P1W6-2	XM_007320321.1
Q9M6N7-2	NM_201905.1
Q6UX39-2	NM_001286731.1
Q400G9-2	NM_001284355.2
Q86W34-5	NM_001033574.1
Q86W34-5	NM_001346480.1
Q5F259-2	NM_172945.2
Q6ZTN6-1	NM_001347901.1
Q9V895-2	NM_001103891.3
Q9V895-2	NM_001169713.2
Q9BTT0-2	NM_001136478.3
Q9BTT0-3	NM_001136479.2
P97822-2	NM_001253757.1
P97822-3	NM_001253758.1
Q3U0L2-2	NM_027496.3
Q3U0L2-4	NM_026153.3
Q96K21-2	NM_032850.4
Q96K21-3	NM_001258420.1
Q96K21-4	NM_001258421.1
P10275-2	NM_001011645.3
P10275-3	NM_001348061.1
P10275-4	NM_001348063.1
P40753-2	NM_001287348.1
Q9P2R3-2	NM_016376.4
Q9P2R3-4	NM_001257999.2
Q5VTE6-2	NM_001300757.1
Q5VTE6-2	NM_001300758.1
Q8K1C0-2	NM_001199020.1
Q8K1C0-2	XM_006497183.3
Q8K1C0-2	XM_006497184.3
Q9BY76-2	NM_001039667.2
Q15389-2	NM_001199859.2
O15123-2	NM_001118888.1
O15123-3	NM_001118887.1
Q9Y264-2	NM_001322809.1
P16157-4	NM_020477.2
P16157-5	NM_020475.2
P16157-3	NM_000037.3
P16157-17	NM_020478.4
P16157-21	NM_001142446.1
P16157-22	NM_020480.4
P16157-23	NM_001142445.1
Q02357-5	NM_001277280.2
Q02357-7	NM_001310437.1
Q02357-8	NM_001310436.1
Q01484-2	NM_020977.3
Q01484-5	NM_001127493.1
Q8C8R3-3	NM_178655.3
Q12955-4	NM_001204404.1
Q12955-5	NM_001204403.1
Q12955-6	NM_001149.3
G5E8K5-2	NM_170728.2
G5E8K5-3	NM_170729.2
G5E8K5-4	NM_170687.3
G5E8K5-5	XM_006513139.3
G5E8K5-6	NM_009670.4
O70511-2	NM_031805.1
Q8N957-2	NM_153228.2
Q8IWZ3-2	NM_024668.3
Q8IWZ3-3	NM_017978.2
Q8IWZ3-5	NM_001197030.1
Q8IWZ3-6	NM_020690.5
Q21920-2	NM_069515.3
Q21920-3	NM_001129322.2
Q21920-4	NM_001129323.2
Q21920-5	NM_001268557.1
Q21920-6	NM_001276843.1
Q21920-7	NM_001276844.1
Q8NAG6-1	NM_001278445.1
A8VU90-2	NM_001310502.1
H2KZB2-2	NM_001028344.3
Q8MQX9-2	NM_167570.2
Q8MQX9-3	NM_001298446.1
Q86XL3-2	XM_011534787.2
Q86XL3-2	XM_011534788.1
Q6P1H6-2	NM_027922.2
Q9GZV1-2	NM_001129981.2
Q9Y2G4-1	NM_001242813.1
Q9Y2G4-3	NM_014942.4
Q9Y2G4-4	NM_001242814.1
A6NFN9-3	NM_001144960.2
Q9P2S6-2	NM_017844.3
Q9V4P1-2	NM_165544.2
Q9NQW6-2	NM_001284301.2
Q9MAT5-2	NM_179260.1
Q84W92-3	NM_111573.5
A3KPF2-2	NM_203184.2
Q8GWT4-3	NM_202918.2
Q99873-2	XM_017026735.1
Q99873-3	NM_198318.4
Q99873-5	NM_001207042.2
Q9JIF0-2	NM_001252476.1
P55345-2	NM_001242865.2
P55345-3	NM_001242864.2
P55345-4	NM_001286677.1
P55345-5	NM_001286676.1
P55345-5	XM_006723998.3
P55345-6	NM_001286678.1
P55345-6	XM_006724000.2
P55345-7	NM_001242866.2
Q9U6Y9-2	NM_166158.2
O14744-2	NM_001039619.2
O14744-4	NM_001282956.1
O14744-5	NM_001282955.1
O14744-3	NM_001282953.1
Q08A71-2	NM_001084722.1
Q9NVM4-3	NM_001184824.1
Q9NR22-2	NM_001256536.1
Q6P2P2-2	NM_001304458.1
Q9NW15-2	NM_001204834.2
Q9NW15-3	NM_001204832.2
Q9NW15-3	NM_001346466.1
Q9NW15-3	NM_001346469.1
Q9NW15-4	NM_001204833.2
Q9NW15-5	NM_001204831.2
Q8BH79-2	NM_001271873.1
Q5XXA6-3	XM_011545131.2
Q8BHY3-2	NM_001242349.1
Q9NQ90-2	NM_001278597.1
Q9BYT9-2	NM_001313727.1
Q9BYT9-2	XM_017018118.1
Q32M45-2	NM_178826.3
Q75UR0-3	NM_001271879.1
Q4KMQ2-2	NM_001204803.1
Q4KMQ2-3	NM_001142678.1
Q4KMQ2-4	NM_001142679.1
Q14AT5-2	NM_001271884.1
P17342-2	NM_000908.3
P17342-3	NM_001204376.1
Q9NXR5-2	NM_001286721.1
Q6UB98-2	NM_001083625.2
Q6UB98-2	NM_001204056.1
Q6UB98-2	XM_017025663.1
Q6P6B7-2	NM_001009943.2
O75179-2	NM_015574.1
O75179-6	NM_198889.2
O75179-7	NM_001286771.2
O15084-2	NM_001195098.1
O15084-2	NM_001195099.1
Q8N6D5-3	NM_001308238.1
Q5SUE8-3	NM_146024.1
Q8N9B4-2	NM_001300977.1
Q8N8A2-2	XM_005246948.2
Q8N8A2-5	NM_153697.2
Q86W74-1	NM_001270379.1
Q9ULJ7-2	NM_001167882.1
Q8N9V6-2	NM_024933.3
Q9CQM6-2	NM_001310772.1
E5RJM6-2	NM_001243535.1
E5RJM6-3	NM_001243536.1
P59672-2	NM_001286041.1
Q7Z6G8-2	NM_001204070.1
Q7Z6G8-3	NM_181670.3
Q7Z6G8-4	NM_001204068.1
Q7Z6G8-5	NM_001204069.1
Q7Z6G8-7	NM_020140.3
Q7Z6G8-8	NM_001204066.1
Q7Z6G8-9	NM_001204081.1
Q7Z6G8-10	NM_001204067.1
P02833-2	NM_206454.1
O82390-2	NM_179805.2
O82390-3	NM_201832.1
Q9H6X2-2	NM_053034.2
Q9H6X2-4	NM_018153.3
P58335-4	NM_058172.5
Q66GI9-3	NM_001035747.2
P22465-2	NM_057267.4
P27214-2	NM_174502.2
Q9VXG4-2	NM_001272685.1
Q9VXG4-2	NM_001272688.1
Q9VXG4-2	NM_078646.3
Q9VXG4-3	NM_001272686.1
P50995-2	NM_001278409.1
Q29471-2	NM_001003255.1
P27216-2	NM_001003954.2
P07355-2	NM_001002858.2
P09525-2	NM_001320702.1
P09525-3	NM_001153.4
P09525-3	NM_001320698.1
P09525-3	XM_017003943.1
P08133-2	NM_001193544.1
P20073-2	NM_001156.4
P13928-3	NM_001271703.1
P22464-2	NM_057255.3
P22464-2	NM_206530.2
P22464-3	NM_001275867.1
P22464-3	NM_001275868.1
P22464-3	NM_206531.2
P28039-2	NM_001177507.1
P19801-2	NM_001272072.1
P19801-2	XM_017011945.1
P19801-2	XM_017011946.1
O75106-2	NM_001158.4
Q16853-2	NM_001277731.1
Q16853-3	NM_001277732.1
P21397-2	NM_001270458.1
O60641-3	NM_001242794.1
O60641-4	NM_001242793.1
Q61548-2	NM_001277986.1
Q61548-3	NM_001277982.1
Q61548-3	XM_006510900.2
Q63HQ0-2	NM_001128426.2
Q10567-3	NM_145730.2
Q10567-4	NM_001166019.1
O43747-2	NM_001030007.1
Q9BXS5-2	NM_001130524.1
Q9Y6Q5-2	NM_001300887.1
P35602-2	NM_001047211.1
Q96PC3-4	NM_001039569.1
O95782-2	NM_130787.2
P17426-2	NM_001077264.1
O94973-2	NM_001242837.1
P91926-2	NM_205885.2
P05549-5	NM_001032280.2
P05549-6	NM_001042425.1
P63010-2	NM_001030006.1
P63010-2	XM_005257937.3
P63010-2	XM_005257938.2
Q9DBG3-2	NM_001035854.2
Q9DBG3-2	XM_006534258.3
Q9DBG3-2	XM_017314772.1
P62944-2	NM_080583.1
P62944-2	XM_008767936.2
P62944-2	XM_008767937.2
P62944-2	XM_008767938.1
P62944-2	XM_017596973.1
Q92481-2	XM_011514837.2
Q6P0E7-2	NM_200821.2
Q94AN4-2	NM_202110.2
Q8GWK2-2	NM_129735.3
Q96CW1-2	NM_001025205.1
P35603-2	NM_001029694.3
P53680-2	NM_021575.3
O00203-3	NM_001271769.1
Q13367-2	NM_001348441.1
Q13367-3	NM_001278511.1
Q13367-4	NM_001278512.1
O14617-5	NM_001261826.1
Q9UPM8-2	NM_001252127.1
Q9UPM8-2	XM_005254264.3
Q9UPM8-2	XM_006720447.3
Q9Y587-2	NM_007077.4
Q9Y587-2	XM_005267293.4
Q9Y587-2	XM_011536371.2
Q9Y587-2	XM_011536372.2
Q9Y587-3	NM_001254726.1
Q9Y587-4	NM_001254727.1
Q8W0Z6-2	NM_201766.2
Q7KLI1-2	NM_166208.3
O14727-2	NM_013229.2
O14727-3	NM_001160.2
O14727-4	NM_181868.1
O14727-6	NM_181869.1
Q02410-2	XM_005251968.3
B2RUJ5-3	XM_006527140.3
Q99767-2	NM_001130414.1
O00213-2	NM_145689.2
O00213-3	NM_001257323.2
O00213-4	NM_001257320.2
O00213-4	NM_001257321.2
O00213-4	NM_001257326.2
O00213-5	NM_001257319.2
O00213-6	NM_001257325.2
Q92870-2	NM_173075.4
Q92870-3	NM_001166051.1
Q92870-3	NM_001166052.1
Q92870-3	NM_001166053.1
Q92870-3	NM_001166054.1
Q92870-4	XM_017008145.1
Q9DBR4-3	NM_001201415.1
O95704-2	NM_133174.2
O95704-3	NM_133172.2
O95704-4	NM_006051.3
H2L2B8-2	NM_001269291.1
Q9NYG5-2	NM_001002244.2
P60006-2	NM_001278485.1
P60006-2	NM_001278486.1
P60007-2	NM_001291348.1
Q9UJX5-3	NM_001286756.1
Q9UJX4-3	NM_001137559.1
Q8BTZ4-2	NM_001042491.2
Q8VY89-3	NM_001036436.1
Q9M9A8-2	NM_001084222.1
P25054-3	NM_001127511.2
Q0WS06-3	NM_201903.2
B3H754-2	NM_001336694.1
F4ISV9-2	NM_001124995.1
F4JNY0-2	NM_119772.3
Q96BI3-2	NM_016022.3
Q96BI3-3	NM_001243772.1
Q8BVF7-2	NM_146104.3
Q8WW43-2	NM_001145646.1
Q24238-2	NM_170534.2
Q9BZZ5-2	NM_006595.3
Q9BZZ5-5	NM_001142931.1
A1Z9X0-2	NM_001043079.2
A1Z9X0-3	NM_001043080.3
A1Z9X0-4	NM_001043078.2
A1Z9X0-5	NM_001043077.3
Q96LR9-2	NM_030817.2
A8JR14-2	NM_142198.3
Q9D842-3	NM_024251.4
P51693-2	NM_001024807.2
Q06481-3	NM_001142276.1
Q06481-4	NM_001142277.1
Q06481-5	NM_001142278.1
Q06481-6	NM_001243299.1
Q9SAK5-2	NM_106591.2
Q9HDC9-2	XM_005260763.3
Q8W4A5-2	NM_125178.6
O14791-3	NM_001136541.1
O95236-2	NM_014349.2
O95236-2	NM_030644.1
O95236-2	NM_145639.1
O95236-3	NM_145641.2
O95236-3	NM_145642.2
Q9BPW4-2	NM_030643.4
O95445-2	NM_001256169.1
A2VEY9-2	NM_001259804.2
A2VEY9-3	NM_001144466.3
A2VEY9-3	NM_001144467.3
A2VEY9-4	NM_001259803.2
Q21227-2	NM_059816.4
Q9SA00-2	NM_001123940.1
Q6LA43-2	NM_001084936.2
Q6LA43-2	NM_001160778.2
Q6LA43-2	NM_001341254.1
Q6LA43-2	NM_001341255.1
Q6LA43-2	NM_001341252.1
Q6LA43-2	NM_001341253.1
O23100-2	NM_116302.4
Q53RT3-2	NM_152792.2
P31166-2	NM_001332762.1
P31166-2	NM_179383.3
P29673-2	NM_001169588.2
P29673-2	NM_078897.4
G2HK15-2	NM_001268812.1
Q8MSG8-4	NM_169859.3
Q7Z2E3-5	NM_001195250.1
Q7Z2E3-5	NM_001195254.1
Q7Z2E3-7	NM_001195248.1
Q7Z2E3-7	NM_001195249.1
Q7Z2E3-7	NM_175073.2
Q7Z2E3-9	NM_001195251.1
Q7Z2E3-9	NM_175069.2
Q7TQC5-2	NM_001025445.2
Q7TQC5-2	XM_006538171.3
Q7TQC5-3	NM_001025444.3
Q7TQC5-3	XM_006538167.3
Q7TQC5-3	XM_006538168.3
Q7TQC5-3	XM_006538169.3
Q7TQC5-3	XM_006538170.3
P07741-2	NM_001030018.1
A6NM10-2	NM_001102467.1
O77750-2	NM_001317794.1
P55087-2	NM_004028.4
P55088-2	NM_001308641.1
P55088-2	NM_001308642.1
P55088-2	NM_001308643.1
P55088-2	NM_001308644.1
P55088-2	NM_001308645.1
P55088-2	NM_001308646.1
P55088-2	NM_001308647.2
P47863-2	NM_001270558.2
P47863-3	NM_001142366.2
Q5H913-2	NM_001162491.1
Q3SXY8-2	NM_144996.3
Q3SXY8-3	NM_001174151.1
Q3SXY8-3	XM_017005853.1
Q9D385-2	NM_024269.4
Q4V8C5-2	NM_001024906.1
Q15041-2	NM_001313858.1
Q66PJ3-5	NM_001278378.1
Q66PJ3-7	NM_001278380.1
Q66PJ3-9	NM_001278379.1
Q66PJ3-9	NM_016638.3
O64749-2	NM_001336532.1
O64749-2	NM_001336531.1
O64749-2	NM_001336533.1
O64749-2	NM_179907.5
P10398-2	NM_001256197.1
Q6UW56-2	NM_016085.4
Q96P48-4	NM_015242.4
Q96P48-7	NM_001135190.1
Q4LDD4-2	NM_001040111.1
Q4LDD4-3	NM_001040112.1
Q4LDD4-3	NM_027180.3
Q8R5G7-2	NM_001205336.1
Q8WUF8-3	NM_001163417.1
Q8WUF8-3	XM_017009955.1
Q8WUF8-4	NM_001163418.1
Q3TNH5-3	NM_001163420.1
Q84N64-2	NM_180284.3
Q2YDE7-2	NM_001076288.2
P30647-2	NM_001268042.1
P40940-2	NM_001084486.1
Q8L7G0-2	NM_179499.2
Q9ZTX8-2	NM_102771.4
Q8N6T3-2	NM_175609.2
Q8N6T3-3	NM_001281482.1
Q8N6T3-4	NM_001281484.1
Q8N6T3-5	NM_001281483.1
Q9EPJ9-2	NM_001177706.1
Q9EPJ9-2	NM_001177709.1
Q99K28-2	NM_001166024.1
Q9NP61-2	NM_001142293.1
P93022-2	NM_180715.1
Q9FGV1-2	NM_001085203.1
Q9XED8-2	NM_001036629.2
Q9ZPY6-2	NM_130218.5
Q9ZPY6-3	NM_201972.1
Q9FX25-2	NM_103140.3
Q9FX25-3	NM_001036062.1
P53367-2	NM_001025593.2
P53367-2	NM_001287433.1
P53367-2	NM_014447.3
G5E8V9-2	NM_001293801.1
P53365-2	NM_001242856.1
P53365-3	NM_001242855.1
Q13795-2	NM_001134758.3
Q13795-2	NM_001267549.2
Q13795-3	NM_001267546.2
Q13795-4	NM_001267545.2
Q8N1W1-5	NM_001244364.1
Q8N1W1-6	NM_001080479.2
A8MVX0-2	NM_001145451.2
Q9HCE6-2	NM_001011722.2
Q9HCE6-2	XM_005245925.2
Q9HCE6-3	NM_001319837.1
Q9HCE6-3	XM_017001617.1
Q9HCE6-4	NM_001319838.1
A2AWP8-2	NM_001112722.1
A2AWP8-3	NM_001112723.1
A2AWP8-4	NM_172415.3
P05089-2	NM_001244438.1
Q9ZUR7-2	NM_001124991.1
Q9NXL2-1	NM_017700.1
Q80VK6-1	NM_029953.1
Q8TER5-2	NM_001278529.1
Q8TER5-4	XM_005267844.2
Q3UPH7-2	NM_001145921.1
Q3UPH7-3	NM_001145922.1
Q92888-2	NM_198977.1
Q92888-3	NM_199002.1
Q61210-2	NM_008488.2
Q61210-5	NM_001130150.1
Q92974-2	NM_001162384.1
Q92974-3	NM_004723.3
Q60875-4	NM_001198912.1
Q60875-5	NM_001198913.1
Q9NR81-2	NM_001128615.1
Q9NR81-3	NM_001128616.1
Q91X46-2	NM_027871.2
Q15052-2	NM_001306177.1
Q14155-1	NM_001113513.1
Q14155-1	NM_001320851.1
Q14155-1	NM_003899.3
Q14155-2	NM_001113512.2
Q14155-3	NM_145735.3
Q14155-6	NM_001330597.1
Q14155-6	NM_001330598.1
Q9ES28-5	NM_001113517.1
Q9ES28-8	NM_001113518.1
Q7Z628-2	NM_005863.4
Q9Z206-2	NM_001047159.2
O43307-2	NM_001173479.1
O43307-3	NM_001173480.1
Q3UTH8-2	NM_001290384.1
Q3UTH8-2	NM_001290385.1
O15013-6	NM_001308153.1
O15013-7	NM_001308152.1
O15013-5	NM_014629.3
Q8C033-2	NM_001037736.2
O15085-2	NM_198236.2
Q9NZN5-2	NM_001198665.1
Q6ZSZ5-6	XM_011527839.2
Q6ZSZ5-2	NM_015318.3
Q6P9R4-1	NM_133962.3
Q86VW2-3	NM_001111270.2
Q96DR7-4	NM_001251963.1
Q8NDY3-2	NM_199162.2
Q9SKC2-2	NM_128736.3
Q84RQ9-2	NM_100469.2
O14497-2	NM_139135.2
A2BH40-2	XM_006539327.3
Q8IVW6-4	NM_006465.3
P29374-2	NM_023000.2
P29374-3	NM_023001.2
Q4LE39-2	NM_031371.3
A2CG63-2	NM_198122.2
Q03989-5	NM_001319092.1
Q3U108-4	NM_145996.4
Q3U108-5	NM_001290727.1
Q14865-2	NM_001244638.1
A0A0K3AXH1-2	NM_001047716.2
A0A0K3AXH1-3	NM_001313076.1
A0A0K3AXH1-4	NM_001313077.1
A0A0K3AXH1-5	NM_001313078.1
A0A0K3AXH1-6	NM_001313079.1
A0A0K3AXH1-7	NM_001313080.1
A0A0K3AXH1-8	NM_001313081.1
A0A0K3AXH1-9	NM_001313289.1
G5EBZ8-2	NM_001268724.1
Q6ZSG1-2	NM_001256758.1
Q96B23-2	NM_001008239.2
Q96B23-2	XM_017025555.1
H2L0N8-2	NM_001037898.1
Q8IVW1-2	NM_001103154.1
Q8IVW1-2	NM_001288812.1
Q8IVW1-2	NM_016632.2
Q8IVW1-2	XM_005257439.4
Q8IVW1-2	XM_006725284.3
P36404-2	NM_001199745.1
P56559-2	NM_001282431.1
Q9Y689-2	NM_001037174.1
Q9Y689-2	NM_177985.2
Q9H0F7-2	NM_001323513.1
O88848-2	NM_001347244.1
Q6T311-2	NM_206919.1
Q6T311-2	XM_005265720.3
P04424-2	NM_001024944.1
Q8N2F6-2	NM_001161009.2
Q8N2F6-3	NM_001161010.2
Q8N2F6-4	NM_001161012.2
Q8N2F6-5	NM_001161011.2
Q8N2F6-6	NM_001161013.2
Q5T9G4-2	NM_145028.4
Q5T9G4-2	XM_017010435.1
Q5T9G4-3	NM_001286576.1
Q9NVT9-2	NM_001286702.1
Q8NEN0-2	NM_001286609.1
Q8NEN0-2	XM_006715574.2
Q8NEN0-2	XM_011536172.2
Q5W041-3	NM_001282746.1
Q5W041-4	NM_001282745.1
Q96C12-4	NM_024742.2
Q6NXE6-2	NM_033415.3
Q6NXE6-2	XM_005260157.3
Q9H6L4-2	NM_001304271.1
Q8IUR7-2	NM_015396.5
Q8IUR7-2	XM_006713565.2
Q8IUR7-3	XM_006713566.3
Q8IUR7-3	XM_011512632.1
Q8IUR7-6	NM_014154.4
Q8IUR7-6	NM_213654.3
Q8IUR7-7	NM_001267041.2
Q8IUR7-8	NM_001267042.2
Q9DBR3-2	NM_001166138.1
Q9D2I5-2	NM_027456.2
Q9D2I5-3	NM_001310702.1
Q9D2I5-5	XM_006529956.3
Q86TY3-2	NM_001320173.1
P18824-2	NM_166912.2
Q78E60-2	XM_006229498.2
P27540-2	NM_178427.2
P27540-3	NM_001286035.1
P27540-3	XM_017001289.1
P27540-4	NM_001286036.1
Q9SA96-2	NM_001035947.1
Q28055-2	NM_174705.1
P56211-2	NM_001330309.1
P56211-2	XM_017021870.1
B5G1C4-2	NM_001245628.2
B5G1C4-2	XM_012572770.1
Q9UBL0-2	NM_001025068.1
Q9UBL0-2	NM_001025069.1
Q9UBL0-2	NM_001267616.1
Q9UBL0-2	NM_001267618.1
Q9UBL0-2	NM_198399.1
Q9UBL0-3	NM_001267619.1
Q9UBL0-4	NM_001267617.1
Q9DCB4-2	NM_001177615.1
Q9DCB4-2	NM_001177620.1
Q9DCB4-2	NM_028755.3
Q9DCB4-3	NM_001177618.1
